Stations_id,lat,lon
01048,51.1280,13.7543
01050,51.0221,13.8470
01051,51.0240,13.7737
01052,52.2174,12.1641
01066,51.5040,10.2613
01072,49.4719,8.1929
01073,49.4686,8.1797
01074,51.3043,12.0810
01078,51.2960,6.7686
01079,51.1998,6.7574
01084,51.3940,6.7026
01087,51.4634,6.7321
01091,51.2806,10.7362
01093,49.4600,8.9584
01102,48.7201,9.5328
01103,48.1002,11.9872
01106,52.8239,13.7979
01107,49.8520,10.4990
01130,54.6282,9.3648
01146,48.6593,8.9121
01154,48.3416,12.8820
01161,48.8777,11.2349
01169,47.6288,7.5959
01172,51.8189,9.8871
01182,51.5029,11.5705
01188,50.7041,10.8576
01197,48.9895,10.1312
01200,54.0691,9.0105
01201,50.9281,6.5646
01204,53.2346,8.4612
01207,50.2705,12.2742
01214,48.2012,8.1089
01219,53.3449,7.1909
01221,53.3707,7.2236
01224,48.1378,7.8351
01228,54.1651,6.3460
01229,50.3324,7.6975
01238,50.9884,7.4250
01239,47.8516,8.7673
01243,48.4734,9.3028
01246,51.8418,8.0607
01254,49.1307,8.9165
01255,49.1664,8.8523
01262,48.3477,11.8133
01266,54.2992,9.3162
01270,50.9829,10.9608
01275,48.3008,13.1398
01276,47.6358,9.5392
01279,49.6497,11.0074
01280,49.5692,10.9929
01287,49.8589,9.2861
01292,49.7522,11.8222
01297,51.2041,10.0138
01299,53.6476,7.6085
01300,51.2540,8.1565
01303,51.4041,6.9677
01327,50.7119,6.7905
01329,54.1340,10.5865
01332,48.4832,12.7241
01339,52.9157,10.1885
01341,54.6000,11.1500
01345,53.3346,13.4371
01346,47.8749,8.0038
01357,49.9807,11.8376
01358,50.4283,12.9535
01374,50.5049,10.1671
01378,54.8086,9.4182
01379,54.7737,9.3752
01380,54.8147,9.4580
01392,49.7317,12.3491
01403,50.0616,9.4550
01410,51.3512,11.0958
01411,50.5309,10.0480
01420,50.0259,8.5213
01421,50.1474,8.6746
01424,50.1269,8.6694
01425,50.1213,8.6601
01426,52.3397,14.5080
01428,49.2275,8.0585
01440,48.2018,7.9336
01441,50.9263,13.2711
01443,48.0233,7.8344
01447,48.0130,7.8588
01451,53.8277,9.2493
01468,48.4537,8.4091
01473,49.1780,11.3735
01488,51.6884,11.0394
01490,47.6454,9.4795
01492,47.7819,7.7348
01503,53.0643,7.9022
01504,51.1190,9.2799
01513,50.6588,8.1027
01515,48.2000,11.2667
01522,49.4811,10.9640
01526,50.5668,9.6533
01544,52.5129,11.3941
01550,47.4831,11.0623
01552,53.2066,14.3817
01580,49.9859,7.9549
01583,50.7719,13.7732
01584,47.9242,8.6473
01586,47.8774,12.6279
01587,48.9481,11.4289
01590,51.4942,6.2463
01593,50.2027,9.1989
01602,48.4329,7.9931
01605,52.3875,12.1601
01612,50.8813,12.1289
01617,51.7259,11.1317
01619,49.7622,8.4887
01621,50.2766,9.9146
01638,50.5910,8.6551
01639,50.6017,8.6439
01645,50.9656,9.0500
01666,54.8273,9.5057
